date,description,amount,category
2023-07-01,Starbucks,436.18,Dining
2023-07-01,TechCorp Salary,4619.45,Income
2023-07-01,Netflix,33.64,Subscription
2023-07-01,Consulting Invoice,4615.75,Income
2023-07-02,TechCorp Salary,2768.44,Income
2023-07-02,Water Utility,41.71,Utilities
2023-07-02,Concert Venue,90.08,Entertainment
2023-07-02,Sushi Place,214.27,Dining
2023-07-03,Water Utility,383.54,Utilities
2023-07-03,Studio Rental,2256.77,Rent
2023-07-03,Disney+ Amazon Prime,485.26,Subscription
2023-07-03,Apple TV+,298.12,Subscription
2023-07-03,Apple Store,233.79,Electronics
2023-07-03,Stater Bros,98.72,Groceries
2023-07-04,Local Bistro,300.46,Dining
2023-07-05,Train Ticket,294.8,Transport
2023-07-06,Spotify,75.06,Subscription
2023-07-06,Doctor Visit,284.95,Healthcare
2023-07-07,Dental Care,392.45,Healthcare
2023-07-07,Studio Rental,1753.77,Rent
2023-07-07,Samsung Online,395.04,Electronics
2023-07-08,Doctor Visit,475.15,Healthcare
2023-07-08,Dell Store,444.2,Electronics
2023-07-08,Pharmacy,418.98,Healthcare
2023-07-09,Doctor Visit,107.91,Healthcare
2023-07-10,Safeway,331.89,Groceries
2023-07-10,Sushi Place,416.26,Dining
2023-07-12,Doctor Visit,141.13,Healthcare
2023-07-12,Monthly Rent Payment,1497.97,Rent
2023-07-12,Pharmacy,173.59,Healthcare
2023-07-12,Local Gym,488.24,Entertainment
2023-07-12,Chipotle,187.4,Dining
2023-07-13,Monthly Rent Payment,1749.31,Rent
2023-07-13,Consulting Invoice,2144.68,Income
2023-07-14,Internet Subscription,96.76,Utilities
2023-07-14,Monthly Rent Payment,1430.75,Rent
2023-07-14,Movie Theater,81.41,Entertainment
2023-07-15,Freelance Payment,5122.09,Income
2023-07-15,Train Ticket,49.32,Transport
2023-07-15,Lyft,313.94,Transport
2023-07-16,Dental Care,188.58,Healthcare
2023-07-16,Dell Store,308.07,Electronics
2023-07-16,Market Basket,11.5,Groceries
2023-07-17,Safeway,290.23,Groceries
2023-07-17,Chipotle,408.05,Dining
2023-07-17,Monthly Rent Payment,1688.6,Rent
2023-07-17,Internet Subscription,49.31,Utilities
2023-07-17,Studio Rental,1937.43,Rent
2023-07-18,Micro Center,499.06,Electronics
2023-07-19,Pharmacy,334.27,Healthcare
2023-07-19,Amazon,239.75,Shopping
2023-07-19,Postmates,481.05,Food Delivery
2023-07-20,Micro Center,252.55,Electronics
2023-07-20,Water Utility,254.79,Utilities
2023-07-20,Sushi Place,114.33,Dining
2023-07-20,Stater Bros,85.71,Groceries
2023-07-21,Spotify,292.2,Subscription
2023-07-21,Dell Store,286.3,Electronics
2023-07-23,Internet Subscription,141.25,Utilities
2023-07-23,Shell Gas Station,205.29,Transport
2023-07-23,Consulting Invoice,6523.71,Income
2023-07-23,Amazon,401.33,Shopping
2023-07-23,Trader Joes,49.11,Groceries
2023-07-24,Concert Venue,87.47,Entertainment
2023-07-24,Target,196.36,Shopping
2023-07-25,Insurance Premium,75.52,Healthcare
2023-07-26,Movie Theater,383.12,Entertainment
2023-07-26,Pharmacy,68.23,Healthcare
2023-07-27,Water Utility,214.33,Utilities
2023-07-27,Safeway,334.68,Groceries
2023-07-27,TechCorp Salary,3864.8,Income
2023-07-27,Stater Bros,47.48,Groceries
2023-07-28,Apple Store,421.27,Electronics
2023-07-28,Olive Garden,323.09,Dining
2023-07-29,Sushi Place,265.92,Dining
2023-07-29,Dell Store,262.04,Electronics
2023-07-29,Stock Dividend,6901.32,Income
2023-07-30,Apple Store,31.13,Electronics
2023-07-30,Uber,50.96,Transport
2023-07-30,Safeway,398.68,Groceries
2023-07-30,Studio Rental,1772.95,Rent
2023-07-31,Shell Gas Station,363.74,Transport
2023-07-31,Olive Garden,71.02,Dining
2023-07-31,Movie Theater,270.57,Entertainment
2023-07-31,Chipotle,255.42,Dining
2023-07-31,Stater Bros,57.38,Groceries
2023-08-02,TechCorp Salary,7729.64,Income
2023-08-03,Starbucks,434.11,Dining
2023-08-03,Local Bistro,186.57,Dining
2023-08-03,Micro Center,364.56,Electronics
2023-08-03,Internet Subscription,432.28,Utilities
2023-08-04,Market Basket,309.11,Groceries
2023-08-04,Safeway,252.57,Groceries
2023-08-04,TechCorp Salary,4687.47,Income
2023-08-05,Postmates,410.14,Food Delivery
2023-08-05,Stock Dividend,2988.76,Income
2023-08-05,Cell Phone Bill,85.71,Utilities
2023-08-06,Cell Phone Bill,384.24,Utilities
2023-08-06,Electric Bill,195.55,Utilities
2023-08-06,Apple Store,107.74,Electronics
2023-08-07,Trader Joes,172.22,Groceries
2023-08-07,Local Bistro,283.13,Dining
2023-08-07,Concert Venue,251.37,Entertainment
2023-08-08,Best Buy,198.45,Shopping
2023-08-08,Walmart,371.19,Shopping
2023-08-08,Freelance Payment,7342.45,Income
2023-08-09,Movie Theater,255.12,Entertainment
2023-08-09,Macy's,353.24,Shopping
2023-08-09,Olive Garden,181.52,Dining
2023-08-09,Starbucks,313.63,Dining
2023-08-09,Sushi Place,488.56,Dining
2023-08-10,Dell Store,177.31,Electronics
2023-08-10,Best Buy,391.79,Shopping
2023-08-11,Water Utility,30.24,Utilities
2023-08-11,Apple Store,119.88,Electronics
2023-08-11,Pharmacy,389.96,Healthcare
2023-08-11,Samsung Online,458.47,Electronics
2023-08-11,Apartment Lease,1530.82,Rent
2023-08-12,Monthly Rent Payment,1821.03,Rent
2023-08-12,Freelance Payment,7137.37,Income
2023-08-12,Samsung Online,443.26,Electronics
2023-08-13,Train Ticket,401.38,Transport
2023-08-13,Dental Care,406.88,Healthcare
2023-08-13,Apple Store,62.22,Electronics
2023-08-14,Local Bistro,19.66,Dining
2023-08-15,Insurance Premium,78.87,Healthcare
2023-08-15,Disney+ Amazon Prime,76.76,Subscription
2023-08-15,Doctor Visit,38.94,Healthcare
2023-08-16,GrubHub,438.06,Food Delivery
2023-08-17,Consulting Invoice,7150.09,Income
2023-08-17,Studio Rental,2490.26,Rent
2023-08-17,Disney+ Amazon Prime,351.43,Subscription
2023-08-17,Local Gym,331.71,Entertainment
2023-08-18,Postmates,379.45,Food Delivery
2023-08-18,Chipotle,302.27,Dining
2023-08-18,Bowling Alley,364.81,Entertainment
2023-08-19,Amazon,359.05,Shopping
2023-08-19,Water Utility,495.27,Utilities
2023-08-19,Pharmacy,481.74,Healthcare
2023-08-19,Movie Theater,67.86,Entertainment
2023-08-19,Uber,124.09,Transport
2023-08-20,Macy's,201.27,Shopping
